accession,country,subpopulation,lat,long
7067,ITA,Italy_South,37.3,15
9762,ITA,Italy_South,37.69,14.98
9964,ITA,Italy_South,38.36,16.23
9965,ITA,Italy_South,38.38,16.22
9653,ITA,Italy_South,38.44,16.13
9657,ITA,Italy_South,38.45,16.04
9980,ITA,Italy_South,38.62,16.17
9981,ITA,Italy_South,38.76,16.24
9655,ITA,Italy_South,38.92,16.47
9658,ITA,Italy_South,38.97,16.34
9982,ITA,Italy_South,39.01,16.47
9646,ITA,Italy_South,39.126899,16.17019
9649,ITA,Italy_South,39.13,16.17
9963,ITA,Italy_South,39.18,16.26
9968,ITA,Italy_South,39.27,16.27
9648,ITA,Italy_South,39.48,16.28
9661,ITA,Italy_South,39.58,16.21
9969,ITA,Italy_South,40.18,16.45
9966,ITA,Italy_South,40.28,15.65
9647,ITA,Italy_South,40.37,16.77
9962,ITA,Italy_Middle,40.57,15.32
9656,ITA,Italy_Middle,40.64,17.31
9651,ITA,Italy_Middle,40.68,14.87
9660,ITA,Italy_Middle,40.84,14.57
9659,ITA,Italy_Middle,41.18,14.18
9663,ITA,Italy_Middle,41.33,14.09
9983,ITA,Italy_Middle,41.62,12.87
9984,ITA,Italy_Middle,41.62,12.87
7068,ITA,Italy_Middle,42,12.1
7319,ITA,Italy_Middle,42,12.1
8243,ITA,Italy_Middle,43.7703,11.2547
8337,ITA,Italy_Middle,44,12.37
7025,ITA,Italy_Middle,44.5041,11.3396
9976,ITA,Italy_Middle,46.2543,11.167
9679,ITA,Italy_Middle,46.3378,11.2928
9680,ITA,Italy_Middle,46.3378,11.2928
9681,ITA,Italy_Middle,46.3378,11.2928
9682,ITA,Italy_Middle,46.3378,11.2928
9683,ITA,Italy_Middle,46.3378,11.2928
9684,ITA,Italy_Middle,46.3378,11.2928
9979,ITA,Italy_North,46.36,11.23
9664,ITA,Italy_North,46.366,11.2832
9665,ITA,Italy_North,46.366,11.2832
9666,ITA,Italy_North,46.366,11.2832
9667,ITA,Italy_North,46.366,11.2832
9973,ITA,Italy_North,46.366,11.2832
9668,ITA,Italy_North,46.3668,11.2837
9669,ITA,Italy_North,46.3668,11.2837
9670,ITA,Italy_North,46.3668,11.2837
9671,ITA,Italy_North,46.3668,11.2837
9672,ITA,Italy_North,46.3668,11.2837
9673,ITA,Italy_North,46.3668,11.2837
9970,ITA,Italy_North,46.3716,11.2376
9676,ITA,Italy_North,46.3718,11.2866
9677,ITA,Italy_North,46.3718,11.2866
9678,ITA,Italy_North,46.3718,11.2866
9971,ITA,Italy_North,46.513,11.331
9972,ITA,Italy_North,46.513,11.331
7333,ITA,Italy_North,46.5438,11.5614
9978,ITA,Italy_North,46.6297,10.817
7344,GER,Germany_South,47.6667,9.5
7411,GER,Germany_South,47.9299,10.8134
6932,GER,Germany_South,47.984,10.8719
7213,GER,Germany_South,47.984,10.8719
7378,GER,Germany_South,48.0333,7.7667
6987,GER,Germany_South,48.0683,7.62551
9995,GER,Germany_South,48.14,9.4
9789,GER,Germany_South,48.39,8.96
9799,GER,Germany_South,48.39,8.85
9813,GER,Germany_South,48.4,8.77
9772,GER,Germany_South,48.41,8.85
9775,GER,Germany_South,48.41,8.79
9778,GER,Germany_South,48.41,8.84
9796,GER,Germany_South,48.41,8.84
9803,GER,Germany_South,48.42,8.76
9814,GER,Germany_South,48.42,8.79
9776,GER,Germany_South,48.43,8.79
9780,GER,Germany_South,48.43,8.79
10022,GER,Germany_South,48.53,7.7667
10027,GER,Germany_South,48.02838,7.765567
7028,GER,Germany_Middle,49.5166,9.3166
7125,GER,Germany_Middle,49.5955,11.0087
7203,GER,Germany_Middle,49.631,11.5722
7415,GER,Germany_Middle,49.7878,9.9361
7094,GER,Germany_Middle,49.8724,8.65081
7119,GER,Germany_Middle,50,8.5
7120,GER,Germany_Middle,50,8.5
8290,GER,Germany_Middle,50,8.5
7244,GER,Germany_Middle,50.001,8.26664
7031,GER,Germany_Middle,50.0167,8.6667
8420,GER,Germany_Middle,50.0667,8.5333
7133,GER,Germany_Middle,50.1102,8.6822
7202,GER,Germany_Middle,50.1797,8.50861
7276,GER,Germany_Middle,50.2,8.5833
7062,GER,Germany_Middle,50.2981,8.26607
6915,GER,Germany_Middle,50.3,6.3
6919,GER,Germany_Middle,50.3,8
6922,GER,Germany_Middle,50.3,8
6940,GER,Germany_Middle,50.3,8.3
7419,GER,Germany_Middle,50.3058,8.32213
7106,GER,Germany_North,51.051,13.7336
7273,GER,Germany_North,51.0581,13.2995
7165,GER,Germany_North,51.3472,8.28844
7117,GER,Germany_North,51.5105,9.68253
6920,GER,Germany_North,51.5338,9.9355
6680,GER,Germany_North,51.85,6.4333
7250,GER,Germany_North,51.9183,10.1138
7162,GER,Germany_North,52.24,9.44
6982,GER,Germany_North,52.3,9.3
7163,GER,Germany_North,52.3721,9.73569
7013,GER,Germany_North,52.4584,13.287
7343,GER,Germany_North,52.5339,13.181
7404,GER,Germany_North,52.6,10.0667
7346,GER,Germany_North,52.6058,11.8558
7268,GER,Germany_North,52.6969,10.981
7280,GER,Germany_North,53.1667,8.2
7287,GER,Germany_North,53.3422,8.42255
7305,GER,Germany_North,53.476,10.6065
7161,GER,Germany_North,53.5,10.5
7169,GER,Germany_North,54.4175,9.88682
991,SWE,Sweden_South,55.3833,14.05
992,SWE,Sweden_South,55.3833,14.05
997,SWE,Sweden_South,55.3833,14.05
1002,SWE,Sweden_South,55.3833,14.05
1006,SWE,Sweden_South,55.3833,14.05
9399,SWE,Sweden_South,55.4234,13.9905
9481,SWE,Sweden_South,55.4242,13.8484
9442,SWE,Sweden_South,55.5678,14.3398
6252,SWE,Sweden_South,55.5796,14.3336
6255,SWE,Sweden_South,55.5796,14.334
6258,SWE,Sweden_South,55.5796,14.3336
6268,SWE,Sweden_South,55.5796,14.3336
6276,SWE,Sweden_South,55.5796,14.3336
6284,SWE,Sweden_South,55.5796,14.3336
9476,SWE,Sweden_South,55.5796,14.3336
7516,SWE,Sweden_South,55.58,14.334
7517,SWE,Sweden_South,55.58,14.334
6100,SWE,Sweden_South,55.6,13.2
6101,SWE,Sweden_South,55.6,13.2
6102,SWE,Sweden_South,55.6,13.2
9339,SWE,Sweden_Middle,57.7133,15.0689
9416,SWE,Sweden_Middle,57.7215,18.3837
9058,SWE,Sweden_Middle,57.75,16.6333
9453,SWE,Sweden_Middle,57.8009,18.5162
9454,SWE,Sweden_Middle,57.8009,18.5162
9455,SWE,Sweden_Middle,57.8009,18.5162
9402,SWE,Sweden_Middle,57.8765,14.8549
6086,SWE,Sweden_Middle,58.9,11.2
8386,SWE,Sweden_Middle,58.9,11.2
8387,SWE,Sweden_Middle,59,18
1254,SWE,Sweden_Middle,59.4333,17.0167
1257,SWE,Sweden_Middle,59.4333,17.0167
1313,SWE,Sweden_Middle,59.5667,16.8667
1317,SWE,Sweden_Middle,59.5667,16.8667
8351,SWE,Sweden_Middle,60.25,18.37
6177,SWE,Sweden_Middle,62.6322,17.69
6180,SWE,Sweden_Middle,62.6322,17.6906
6154,SWE,Sweden_Middle,62.6422,17.7406
6153,SWE,Sweden_Middle,62.6425,17.7422
6163,SWE,Sweden_Middle,62.6425,17.7356
6064,SWE,Sweden_North,62.9513,18.2763
6069,SWE,Sweden_North,62.9513,18.2763
9433,SWE,Sweden_North,62.9513,18.2763
6231,SWE,Sweden_North,62.96,18.2844
6235,SWE,Sweden_North,62.9611,18.3589
6241,SWE,Sweden_North,62.9614,18.3608
6237,SWE,Sweden_North,62.9619,18.35
6238,SWE,Sweden_North,62.9619,18.35
6240,SWE,Sweden_North,62.9622,18.35
9371,SWE,Sweden_North,63.016,18.3175
6917,SWE,Sweden_North,63.0165,18.3174
6918,SWE,Sweden_North,63.0165,18.3174
5856,SWE,Sweden_North,63.0167,17.4914
6216,SWE,Sweden_North,63.0167,18.3283
6217,SWE,Sweden_North,63.0169,18.3283
6218,SWE,Sweden_North,63.0172,18.3283
6214,SWE,Sweden_North,63.0175,18.3281
1552,SWE,Sweden_North,63.0833,18.3667
6900,SWE,Sweden_North,63.324,18.484
6901,SWE,Sweden_North,63.324,18.484
